Aarão,,Sim,
Aaron,,Não,
Abdénago,M,Sim,
Abdul,,Sim,
Abedenego,,Não,
Abeilard,,Não,
Abeilarde,,Não,
Abel,M,Sim,
Abelâmio,M,Sim,
Abelardo,M,Sim,
Abelino,,Não,
Abigail,F,Sim,
Abimael,,Não,
Abissail,,Não,
Abna,,Sim,
Abraão,M,Sim,
Abraham,,Não,
Abraim,M,Sim,
Abrão,M,Sim,
Absalão,M,Sim,
Abssilão,,Não,
Ácil,F,Sim,
Acilino,M,Sim,
Acílio,,Sim,
Acini,,Não,
Açores,,Não,
Açucena,,Sim,
Acúrcio,,Não,
Acúrsio,M,Sim,
Ada,,Sim,
Adail,M,Sim,
Adalberto,M,Sim,
Adalgisa,,Sim,
Adália,,Sim,
Adalsindo,,Sim,
Adalsino,,Sim,
Adam,,Não,
Adama,,Não,
Adamantino,M,Sim,
Adamastor,M,Sim,
Adamo,,Não,
Adarico,,Não,
Adárico,,Não,
Adário,,Não,
Adelaide João,,Sim,
Adelindo,M,Sim,
Adelmo,M,Sim,
Ademar,,Sim,
Adeodato,M,Sim,
Adércio,,Não,
Adério,M,Sim,
Adiel,M,Sim,
Ádila,F,Sim,
Adilar,,Não,
Adília,F,Sim,
Adílio,,Sim,
Adilson,,Não,
Adirio,,Não,
Adírio,,Não,
Adis,,Não,
Adjene,,Não,
Adliano,,Não,
Admar,,Não,
Admiro,,Não,
Admisia,,Não,
Adner,M,Sim,
Adolfo,,Sim,
Adonai,M,Sim,
Adonias,,Sim,
Adonilo,,Sim,
Adónis,M,Sim,
Adoração,,Não,
Adorinda,,Não,
Adorino,M,Sim,
Adosinda,F,Sim,
Adria,,Não,
Adriana,F,Sim,
Adriana do Mar,F,Sim,
Adriane,,Não,
Adriano,M,Sim,
Adriel,M,Sim,
Adrien,M,Sim,
Adrilete,,Não,
Adrualdo,M,Sim,
Adruzilo,M,Sim,
Aduíno,,Não,
Afonsina,,Sim,
Afonsino,,Sim,
Afonso,M,Sim,
Afonso de São Luís,,Sim,
Afonso Henriques,,Sim,conjunto onomástico
Afra,F,Sim,
Afrânio,M,Sim,
Afre,,Sim,
África,,Não,
Africana,F,Sim,
Africano,M,Sim,
Ágata,,Sim,
Agatha,,Não,
Agda,,Não,
Agenor,M,Sim,
Agna,,Sim,
Agnello,,Não,
Agnelo,,Sim,
Agnes,F,Sim,
Agonia,,Sim,"como segundo elemento do nome, precedido da partícula ""da"""
Agostília,,Não,
Agostinho,M,Sim,
Águas,,Não,
Águeda,F,Sim,
Aguiar,,Não,
Aguinaldo,,Não,
Aiala,,Não,
Aicha,,Não,
Aidan,,Não,
Aidé,,Sim,
Aidi,,Não,
Aila,,Não,
Aileda,,Não,
Ailine,,Não,
Ailson,,Não,
Ailton,,Não,
Aimi,,Não,
Aine,F,Não,
Aires,M,Sim,
Airiza,F,Sim,
Airtom,,Não,
Airton,M,Sim,
Aisha,,Não,
Aita,,Não,
Aitor,M,Sim,
Aixa,F,Sim,
Akira,,Não,
Aladino,M,Sim,
Alaíde,F,Sim,
Alaim,,Não,
Alain,,Não,
Alamiro,M,Sim,
Alan,M,Sim,
Alana,F,Sim,revoga o despacho de 03-02-1993
Alanis,,Não,
Alanna,,Não,
Alano,,Sim,
Alão,,Sim,
Alba,,Sim,
Albano,M,Sim,
Alberico,,Sim,
Alberta,F,Sim,
Alberto,M,Sim,
Alberty,,Não,
Albrique,,Não,
Albuquerque,,Não,
Alcibíades,M,Sim,
Alcide,,Não,
Alcides,M,Sim,
Alcina,F,Sim,
Alcindo,M,Sim,
Alcínia,,Não,
Alcino,M,Sim,
Alcione,,Não,
Alcíone,F,Sim,
Alda,F,Sim,
Aldaír,M,Sim,
Aldara,F,Sim,
Aldemar,,Sim,
Aldenir,F,Sim,
Aldenora,F,Sim,
Alder,M,Sim,revoga o despacho de 30-07-1977
Aldo Dino,,Sim,
Aldónio,,Sim,
Aldora,F,Sim,como segundo elemento do nome
Alecsandro,,Não,
Alegria,F,Sim,
Aleixa,F,Sim,
Alejandra,,Não,
Alejandro,M,Não,
Alencar,,Não,
Alésia,,Não,
Alessandra,,Não,
Alessandro,,Não,
Aleta,F,Sim,
Aleu,M,Sim,
Alex,,Sim,
Alexa,F,Sim,
Alexander,,Não,
Alexandra,F,Sim,
Alexandra João,,Sim,
Alexandre,M,Sim,
Alexandria,,Não,
Alexandrino,,Sim,
Alexandro,M,Sim,
Alexei,,Não,
Aléxia,F,Sim,"não ""ALEXIA"""
Alexina,,Sim,
Aléxio,M,Sim,
Aléxis,,Sim,"não ""ALEXIS"""
Alexsandro,,Não,
Alfeu,,Sim,
Alfreda,,Sim,
Alfredina,,Não,
Alfredo,M,Sim,
Algarinho,,Não,
Algi,,Não,
Algy,,Não,
Ália,,Sim,
Aliana,F,Sim,
Aliça,F,Sim,
Alice,F,Sim,
Alícia,,Sim,
Aliçon,,Não,
Alida,,Sim,
Alide,,Não,
Alina,F,Sim,
Aline,F,Sim,
Alípio,M,Sim,
Aliquesone,,Não,
Alírio,,Sim,
Alisande,F,Sim,
Alisia,,Não,
Álison,,Sim,
Alissa,,Não,
Alissandra,,Não,
Alissandro,,Não,
Alita,F,Sim,
Alítio,,Sim,
Alito,,Sim,
Alivar,M,Sim,
Alívio,,Sim,"só no conjunto ""MARIA DO ALÍVIO"""
Alix,F,Sim,
Aljocolo,,Não,
Allan Brett,,Não,
Allen,,Não,
Allessandro,,Não,
Alma,F,Sim,revoga o despacho de 14-04-1981
Almada,,Não,
Almara,F,Sim,
Almecinda,,Não,
Almesinda,F,Sim,
Alminda,,Não,
Almir,,Não,
Almira,,Sim,
Almirique,,Não,
Almiro,,Sim,
Almo,,Não,
Almurtão,,Sim,"como segundo elemento do nome, precedido da partícula ""do"""
Aloís,,Sim,
Aloísio,M,Sim,
Alonso,,Não,
Alonzo,,Não,
Alpes,,Não,
Alpoim,M,Sim,revoga o despacho de 06-05-1981
Alquina,,Não,
Altenino,,Não,
Alter,,Não,
Altina,,Sim,
Altino,,Sim,
Altomirândio,,Não,
Aluisa,,Não,
Aluízio,,Não,
Alva,F,Sim,
Álvares,,Não,
Alvares,,Não,
Alvarim,M,Sim,
Alvarina,F,Sim,
Alvarindo,,Não,
Alvarinho,,Não,
Alvarino,,Sim,
Alvário,M,Sim,
Alverita,,Não,
Alvier,,Não,
Alvim,,Não,
Alvino,M,Sim,
Alzerina,,Não,
Alzinda,,Não,
Alzira,,Sim,
Alzirinda,,Não,
Amadeu,M,Sim,
Amadeus,,Não,
Amádio,,Não,
Amadis,,Sim,
Amado,,Sim,
Amador,,Sim,
Amael,,Não,
Amanda,,Sim,
Amandina,,Sim,
Amar,,Não,
Amara,,Sim,
Amaral,,Não,
Amarilde,,Não,
Amarildo,,Sim,
Amarílio,M,Sim,
Amarílis,,Sim,
Amaro,M,Sim,
Amastor,,Não,
Amauri,,Sim,
Amáuri,,Não,
Amável,,Sim,
Amávia,,Não,
Amavilde,,Não,
Ambar,,Não,
Ameet,,Não,
Amélia,F,Sim,
Amelina,F,Sim,
Amena,,Não,
América,F,Sim,
Américo,M,Sim,
Amícia,,Não,
Aminadabe,M,Sim,
Amor,M,Sim,
Amora,F,Sim,
Amorel,,Não,
Amorim,M,Sim,revoga o despacho de 23-10-1975
Amorina,F,Sim,
Amorita,,Não,
Amorosa,,Não,
Amorzinda,F,Sim,
Amós,,Sim,
Amparo,,Sim,"como segundo elemento do nome, precedido da partícula ""do"""
Ana,F,Sim,
Ana Arine,F,Sim,conjunto onomástico
Ana Bela,F,Sim,
Ana da Purificação,,Sim,
Ana de São José,F,Sim,
Ana do Carmo,F,Sim,
Ana do Mar,F,Sim,
Ana do Rosário,,Sim,
Ana Flôr,,Sim,
Ana Lua,F,Sim,
Ana Mar,,Sim,conjunto onomástico; revoga o despacho de 28-06- 1990
Ana Rosário,,Não,"só é de admitir se os dois vocábulos forem ligados pela partícula ""do"""
Ana Viriato,F,Sim,conjunto onomástico
Anabel,,Sim,
Anabela,F,Sim,
Ana-Clara,,Não,
Anael,M,Sim,
Anaíce,F,Sim,
Anaíde,F,Sim,
Anailda,,Não,
Anailde,,Não,
Anaim,M,Sim,
Anaina,,Não,
Anair,F,Sim,
Anaira,,Não,
Anaíra,,Não,
Anaís,F,Sim,
Anaisa,,Sim,
Anaísa,F,Sim,
Anaiza,,Não,
Analaura,,Não,
Analdina,,Sim,
Anali,,Não,
Anália,,Sim,
Analice,F,Sim,
Analide,M,Sim,
Analídio,,Não,
Analine,,Não,
Analisa,,Sim,
Analissa,,Não,
Analtina,,Não,
Analua,,Não,
Analuar,,Não,
Analuz,,Não,
Anamar,F,Sim,
Anandine,,Não,
Anania,M,Sim,
Ananias,M,Sim,
Anarelina,,Não,
Anarolina,,Não,
Anatércia,,Não,
Anatilde,,Sim,
Ancha,F,Sim,como segundo elemento do nome
Âncora,,Não,
Andere,,Não,
Anderson,,Não,
Andi,,Não,
Andraja,,Não,
André,M,Sim,
Andrea,F,Sim,"revoga os despachos de 1970, 1980 e de 1991"
Andreas,,Não,
Andrei,,Não,
Andreia,F,Sim,
Andreias,M,Sim,
Andreína,F,Sim,
Andrelina,F,Sim,
Andreo,M,Sim,
Ândreo,,Não,
Andrés,M,Sim,
Andresa,F,Sim,
Andressa,,Não,
Andrete,,Não,
Andreti,,Não,
Andreza,,Não,
Ândria,F,Sim,
Andria,,Não,
Andrina,,Não,
Ândrio,,Não,
Andrius,,Não,
Andro,,Não,
Andy,,Não,
Aneide,F,Sim,
Anésia,,Sim,
Anete,,Não,
Angel,F,Sim,revoga o despacho anterior
Ângeles,,Não,
Angélica,,Sim,
Angélico,M,Sim,revoga o despacho de 08-07-2008
Angelin,,Não,
Angelique,,Não,
Angelita,F,Sim,
Ângelo,,Sim,
Angra,,Não,
Ani,,Não,
Ânia,F,Sim,
Aniana,F,Sim,
Anicete,,Não,
Anícia,F,Sim,
Aniello,,Não,
Anielo,M,Sim,
Anilda,,Não,
Anildo,,Não,
Anilinca,,Não,
Aniquília,,Não,
Aniri,,Não,
Aníria,F,Sim,
Anisabel,,Não,
Anisabela,,Não,
Anish,,Não,
Anísia,F,Sim,
Anísio,,Sim,
Anissa,,Não,
Anita,F,Sim,
Anjos,,Sim,"como segundo elemento do nome, precedido da partícula ""dos"""
Anne,F,Não,despacho de 15-06-2011
Annie,,Não,
Annie Kate,F,Não,
Anolido,,Sim,
Anorindo,,Não,
Anouchka,,Não,
Anouk,,Não,
Anquita,,Sim,
Anselmo,M,Sim,
Anteia,F,Sim,
Antelmo,M,Sim,
Antera,F,Sim,
Antero,M,Sim,
Antíbio,,Não,
Antineia,,Não,
Antoinette,,Não,
Antonela,,Sim,
Antonelli,,Não,
Antonelo,,Sim,
Antoni,,Não,
Antonieta,,Sim,
Antonina,,Sim,
Antonita,,Não,
Antónia,F,Sim,
António,M,Sim,
Anunciação,F,Sim,
Anunciada,,Sim,
Anuque,,Sim,
Anusca,F,Sim,
Anuschka,,Não,
Anuska,,Não,
Anya,F,Não,
Aparecida,,Sim,
Aparício,M,Sim,
Ápio,M,Sim,
Apolinário,M,Sim,
Apolo,M,Sim,
Aprígio,,Sim,
Aquil,M,Sim,
Aquila,M,Sim,
Áquila,M,Sim,
Aquiles,M,Sim,
Aquilino,M,Sim,
Aquino,,Sim,como segundo elemento do nome
Aquira,M,Sim,
Áquira,,Não,
Ara,,Não,
Arabela,F,Sim,
Araci,,Sim,como segundo elemento do nome
Aradna,,Sim,
Aragão,,Não,
Aralde,,Não,
Aramis,M,Sim,
Araújo,,Não,
Arbela,,Não,
Arbelda,,Não,
Arbre,,Não,
Arcádio,M,Sim,
Arcanjo,M,Sim,
Arcelino,M,Sim,
Arcélio,,Sim,
Arcelis,,Não,
Arcidio,,Não,
Arcílio,M,Sim,
Arcindo,,Não,
Ardelisa,,Não,
Ardeliza,,Não,
Ardiles,,Não,
Ardingue,M,Sim,
Argemiro,,Sim,
Argentina,,Sim,
Argentino,,Sim,
Argo Demetrius,,Não,
Ari,,Sim,preferível como segundo elemento do nome
Ária,F,Sim,
Ariadna,,Sim,
Ariadne,,Sim,
Arian,,Não,
Ariana,F,Sim,
Ariane,F,Sim,despacho de 03-08-2007
Arianne,,Não,
Arícia,F,Não,
Aricina,,Não,
Ariel,M,Sim,
Ariele,F,Sim,
Arien,F,Não,
Aries,,Não,
Áries,,Não,
Arieta,,Não,
Arinda,,Sim,
Arine,M,Sim,
Ariosto,M,Sim,
Arisberto,M,Sim,
